EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,C.I,Name,DaysWorked,HBN,HED,HEN
RM297,18,18-25,True,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,Upto 5k,25233,1,13,3,3,80,0,0,2,3,0,0,0,0.0,95822412,Kenneth Foley,20,1,1,1
RM302,18,18-25,False,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200,Upto 5k,9724,1,12,3,1,80,0,0,2,3,0,0,0,0.0,24942603,Dakota Rangel,23,2,2,1
RM458,18,18-25,True,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,1878,Upto 5k,8059,1,14,3,4,80,0,0,3,3,0,0,0,0.0,13356886,Martin Lee,30,2,0,2
RM728,18,18-25,False,Non-Travel,287,Research & Development,5,2,Life Sciences,1,1012,2,Male,73,3,1,Research Scientist,4,Single,1051,Upto 5k,13493,1,15,3,4,80,0,0,2,3,0,0,0,0.0,46913810,Krystal Madden,27,1,0,0
RM829,18,18-25,True,Non-Travel,247,Research & Development,8,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single,1904,Upto 5k,13556,1,12,3,4,80,0,0,0,3,0,0,0,0.0,42868828,Terry Miller,27,0,2,1
RM973,18,18-25,False,Non-Travel,1124,Research & Development,1,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single,1611,Upto 5k,19305,1,15,3,3,80,0,0,5,4,0,0,0,0.0,39958838,Christopher Robinson,30,0,1,1
RM1154,18,18-25,True,Travel_Frequently,544,Sales,3,2,Medical,1,1624,2,Female,70,3,1,Sales Representative,4,Single,1569,Upto 5k,18420,1,12,3,3,80,0,0,2,4,0,0,0,0.0,28728463,Megan Hood,28,1,1,2
RM1312,18,18-25,False,Non-Travel,1431,Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single,1514,Upto 5k,8018,1,16,3,3,80,0,0,4,1,0,0,0,0.0,23756669,Daniel Young,23,2,1,0
RM128,19,18-25,True,Travel_Rarely,528,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single,1675,Upto 5k,26820,1,19,3,4,80,0,0,2,2,0,0,0,0.0,83197857,Brooke Jackson,20,1,0,0
RM150,19,18-25,False,Travel_Rarely,1181,Research & Development,3,1,Medical,1,201,2,Female,79,3,1,Laboratory Technician,2,Single,1483,Upto 5k,16102,1,14,3,4,80,0,1,3,3,1,0,0,0.0,21668732,Regina Tran,21,0,1,1
RM172,19,18-25,True,Travel_Frequently,602,Sales,1,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single,2325,Upto 5k,20989,0,21,4,1,80,0,1,5,4,0,0,0,0.0,89254563,Taylor Ramirez,29,0,2,1
RM178,19,18-25,True,Travel_Rarely,303,Research & Development,2,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,Single,1102,Upto 5k,9241,1,22,4,3,80,0,1,3,2,1,0,1,0.0,66629388,Mark Gonzales,30,2,2,2
RM423,19,18-25,True,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2564,Upto 5k,18437,1,12,3,3,80,0,1,3,4,1,0,0,0.0,14265799,Wendy Porter,24,1,2,0
RM689,19,18-25,True,Travel_Rarely,419,Sales,21,3,Other,1,959,4,Male,37,2,1,Sales Representative,2,Single,2121,Upto 5k,9947,1,13,3,2,80,0,1,3,4,1,0,0,0.0,13999315,Traci Hansen,29,1,0,2
RM854,19,18-25,False,Travel_Rarely,645,Research & Development,9,2,Life Sciences,1,1193,3,Male,54,3,1,Research Scientist,1,Single,2552,Upto 5k,7172,1,25,4,3,80,0,1,4,3,1,1,0,0.0,22575562,Julie Silva,30,0,0,2
RM893,19,18-25,True,Non-Travel,504,Research & Development,10,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single,1859,Upto 5k,6148,1,25,4,2,80,0,1,2,4,1,1,0,0.0,39345092,Jessica Brown,24,2,0,1
RM910,19,18-25,False,Travel_Rarely,265,Research & Development,25,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single,2994,Upto 5k,21221,1,12,3,4,80,0,1,2,3,1,0,0,1.0,41227216,Jennifer West,29,2,1,1
RM103,20,18-25,True,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,Upto 5k,19783,1,18,3,2,80,0,1,5,3,1,0,1,0.0,77827638,Erik Hodge,25,0,1,2
RM488,20,18-25,False,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836,Upto 5k,11757,1,13,3,4,80,0,1,0,4,1,0,0,0.0,90801586,Vanessa Jenkins,24,1,2,0
RM514,20,18-25,True,Travel_Rarely,1362,Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single,1009,Upto 5k,26999,1,11,3,4,80,0,1,5,3,1,0,1,1.0,13561597,Crystal George,25,2,1,1
RM663,20,18-25,True,Travel_Rarely,500,Sales,2,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single,2044,Upto 5k,22052,1,13,3,4,80,0,2,3,2,2,2,0,2.0,85329037,Michelle Owens,27,2,2,0
RM690,20,18-25,True,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single,2973,Upto 5k,13008,1,19,3,2,80,0,1,2,3,1,0,0,0.0,36687537,Kayla Warren,26,0,2,0
RM732,20,18-25,True,Travel_Rarely,1097,Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single,2600,Upto 5k,18275,1,15,3,1,80,0,1,2,3,1,0,0,0.0,97226012,Kevin Jackson,30,1,2,0
RM777,20,18-25,True,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single,2323,Upto 5k,17205,1,14,3,2,80,0,2,3,3,2,2,0,2.0,83140807,Ernest Phillips,20,1,1,1
RM857,20,18-25,False,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single,3033,Upto 5k,12828,1,12,3,1,80,0,2,2,2,2,2,1,2.0,66306997,Diane Miller,20,0,2,1
RM877,20,18-25,False,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single,2678,Upto 5k,5050,1,17,3,4,80,0,2,2,3,2,1,2,2.0,39587039,Courtney Rivera,30,0,1,0
RM1179,20,18-25,False,Travel_Rarely,1141,Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single,2783,Upto 5k,13251,1,19,3,1,80,0,2,3,3,2,2,2,2.0,70291817,Kelly Bailey,25,0,2,1
RM1198,20,18-25,False,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single,2728,Upto 5k,21082,1,11,3,1,80,0,2,3,3,2,2,0,2.0,89089901,Jacob Bryan,22,2,2,1
RM024,21,18-25,False,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,Upto 5k,19281,1,14,3,4,80,0,0,6,3,0,0,0,0.0,47338124,Daniel Daniels,28,0,0,0
